H_A_per_m,B_T
1.182711181114913330e+02,-2.585788336838905355e-02
1.332623648304032713e+02,4.388521187216086750e-01
1.480038006204590602e+02,6.993456925038489258e-01
1.624754163991474059e+02,8.644989405955049167e-01
1.766576675480303322e+02,9.783749636769094593e-01
1.905314999088584784e+02,1.061502543463466619e+00
2.040783749768811219e+02,1.124737011946604914e+00
2.172802942586434654e+02,1.174357150792605831e+00
2.301198227629087967e+02,1.214246642807688570e+00
2.425801115946919140e+02,1.246936324825089315e+00
2.546449196237859098e+02,1.274145731541519444e+00
2.662986342006044538e+02,1.297083759711889384e+00
2.775262908936282997e+02,1.316624823514805254e+00
2.883135922242340712e+02,1.333416768564426258e+00
2.986469253762133462e+02,1.347949513307244551e+00
3.085133788588493076e+02,1.360600135611018890e+00
3.179007581039767842e+02,1.371663321484280162e+00
3.267975999790681954e+02,1.381372432541323469e+00
3.351931861999863145e+02,1.389914396284254172e+00
3.430775556286955066e+02,1.397440430335276984e+00
3.504415154428555752e+02,1.404073896189073523e+00
3.572766511658915647e+02,1.409916136632551664e+00
3.635753355477994546e+02,1.415050871749503392e+00
3.693307362886262126e+02,1.419547547752827432e+00
3.745368225982385297e+02,1.423463913553723703e+00
3.791883705876867907e+02,1.426848019661633993e+00
3.832809674891473719e+02,1.429739779003784905e+00
3.868110147031105726e+02,1.432172190962201164e+00
3.897757296731610381e+02,1.434172302850222680e+00
3.921731465903602043e+02,1.435761963607575353e+00
3.940021159309071095e+02,1.436958410307934031e+00
3.952623028323953349e+02,1.437774717543746306e+00
3.959541843156246159e+02,1.438220131779903488e+00
3.960790453605365542e+02,1.438300306579989307e+00
3.956389738464459924e+02,1.438208599932934595e+00
3.946368543683183816e+02,1.437999228186819245e+00
3.930763609423940466e+02,1.437671694426400082e+00
3.909619486159942312e+02,1.437224955599363030e+00
3.882988439978432780e+02,1.436657414001243804e+00
3.850930347267170646e+02,1.435966902612964446e+00
3.813512578976640270e+02,1.435150664029823497e+00
3.770809874664630570e+02,1.434205322587431830e+00
3.722904206543456667e+02,1.433126849144493953e+00
3.669884633763542752e+02,1.431910517819435347e+00
3.611847147180007482e+02,1.430550853791798804e+00
3.548894504861550558e+02,1.429041571063053517e+00
3.481136058612966053e+02,1.427375498816397803e+00
3.408687571794489486e+02,1.425544494710715426e+00
3.331671028732289983e+02,1.423539343076709818e+00
3.250214436025391365e+02,1.421349635536534040e+00
3.164451616064491191e+02,1.418963631020347060e+00
3.074521993088070531e+02,1.416368091476231550e+00
2.980570372110489075e+02,1.413548088727600405e+00
2.882746711065599357e+02,1.410486776876987980e+00
2.781205886517702766e+02,1.407165123324216172e+00
2.676107453299392773e+02,1.403561589776808338e+00
2.567615398443118693e+02,1.399651752469051047e+00
2.455897889779901959e+02,1.395407848021653852e+00
2.341127019584828872e+02,1.390798227759572736e+00
2.223478543654362340e+02,1.385786698576180642e+00
2.103131616205586738e+02,1.380331722191163069e+00
1.980268520991885737e+02,1.374385436340197941e+00
1.855074399033329087e+02,1.367892450265095983e+00
1.727736973363265918e+02,1.360788351705887855e+00
1.598446271195349198e+02,1.352997841774997045e+00
1.467394343917168840e+02,1.344432385174546107e+00
1.334774985318300082e+02,1.334987222543348562e+00
1.200783448461205154e+02,1.324537533729164940e+00
1.065616161604076808e+02,1.312933456876251626e+00
9.294704435840378665e+01,1.299993544858063066e+00
7.925442190686408139e+01,1.285496056019904909e+00
6.550357340818122509e+01,1.269167194716677827e+00
5.171432722086436229e+01,1.250664978689458362e+00
3.790648718806687612e+01,1.229556711245981981e+00
2.409980451402574175e+01,1.205286892164520340e+00
1.031394982789588965e+01,1.177130473586149417e+00
-3.431514525962048978e+00,1.144123010406638219e+00
-1.711716193265120012e+01,1.104953185943617910e+00
-3.072372864832124861e+01,1.057791738333330844e+00
-4.423214060118662161e+01,1.000008077625132330e+00
-5.762353981516458390e+01,9.276780097742467479e-01
-7.087931041996668569e+01,8.346777627921374565e-01
-8.398110421225021582e+01,7.108926529561869767e-01
-9.691086573317865316e+01,5.383345892587199089e-01
-1.096508568286023291e+02,2.816324236855816121e-01
-1.221836806589172113e+02,-1.300850195537497922e-01
-1.344923051265918446e+02,-4.727971261836129147e-01
-1.465600856902983651e+02,-6.857528188782033851e-01
-1.583707875355899262e+02,-8.306740705280797332e-01
-1.699086070731049176e+02,-9.354854210342680165e-01
-1.811581927363424427e+02,-1.014661085956846343e+00
-1.921046650521772676e+02,-1.076452210898792394e+00
-2.027336359584088825e+02,-1.125906187460368635e+00
-2.130312273438366617e+02,-1.166283521224871222e+00
-2.229840887875404860e+02,-1.199783828743950176e+00
-2.325794144752869954e+02,-1.227944437239168574e+00
-2.418049592722443606e+02,-1.251871792440971021e+00
-2.506490539324752262e+02,-1.272382140725412780e+00
-2.591006194269780849e+02,-1.290090434118623897e+00
-2.671491803733852635e+02,-1.305468401097867215e+00
-2.747848775517655895e+02,-1.318883573177213053e+00
-2.819984794923500431e+02,-1.330626171362553345e+00
-2.887813931223772101e+02,-1.340928036238044241e+00
-2.951256734606426448e+02,-1.349976214241433103e+00
-3.010240323497464487e+02,-1.357922875412586716e+00
-3.064698462174342239e+02,-1.364892662536844270e+00
-3.114571628598581583e+02,-1.370988209240531663e+00
-3.159807072409956277e+02,-1.376294331046845398e+00
-3.200358863038929940e+02,-1.380881239683225736e+00
-3.236187927908266033e+02,-1.384807027792820833e+00
-3.267262080709007250e+02,-1.388119600753549898e+00
-3.293556039750135938e+02,-1.390858183369215073e+00
-3.315051436395492601e+02,-1.393054494639953456e+00
-3.331736813615485175e+02,-1.394733659012362237e+00
-3.343607614695202415e+02,-1.395914904387795197e+00
-3.350666162154316794e+02,-1.396612083664382942e+00
-3.352921626947963887e+02,-1.396834046283088160e+00
-3.350389988031305393e+02,-1.396767646499624149e+00
-3.343093982383913954e+02,-1.396575908354825257e+00
-3.331063045603315231e+02,-1.396258503507479043e+00
-3.314333243190033613e+02,-1.395814560570626472e+00
-3.292947192659261759e+02,-1.395242659306409561e+00
-3.266953976626802501e+02,-1.394540819217121141e+00
-3.236409047029210342e+02,-1.393706482355352660e+00
-3.201374120650045825e+02,-1.392736490066563526e+00
-3.161917066135865753e+02,-1.391627053259857139e+00
-3.118111782696987575e+02,-1.390373715673612232e+00
-3.070038070699052923e+02,-1.388971309457646797e+00
-3.017781494362293415e+02,-1.387413902228019635e+00
-2.961433236795621724e+02,-1.385694734558440055e+00
-2.901089947602793018e+02,-1.383806146646658242e+00
-2.836853583307508870e+02,-1.381739492626302024e+00
-2.768831240853525628e+02,-1.379485040673670060e+00
-2.697134984444711563e+02,-1.377031856671349974e+00
-2.621881665998469089e+02,-1.374367668718905255e+00
-2.543192739493871670e+02,-1.371478709203281632e+00
-2.461194069503470416e+02,-1.368349530429615823e+00
-2.376015734204895580e+02,-1.364962788930103699e+00
-2.287791823174985382e+02,-1.361298992466558611e+00
-2.196660230275520576e+02,-1.357336202358375710e+00
-2.102762441945236844e+02,-1.353049682018523825e+00
-2.006243321218212543e+02,-1.348411480354911651e+00
-1.907250887793528022e+02,-1.343389935843845251e+00
-1.805936094485319927e+02,-1.337949083404131434e+00
-1.702452600386268955e+02,-1.332047941418382564e+00
-1.596956541081028149e+02,-1.325639649980948187e+00
-1.489606296248652768e+02,-1.318670423168407657e+00
-1.380562254995764988e+02,-1.311078267080859394e+00
-1.269986579263939461e+02,-1.302791400525496135e+00
-1.158042965656087375e+02,-1.293726294974326230e+00
-1.044896406027630320e+02,-1.283785222587460417e+00
-9.307129471885231453e+01,-1.272853162342182154e+00
-8.156594500621898192e+01,-1.260793859678662088e+00
-6.999033486466603904e+01,-1.247444756991805237e+00
-5.836124091222340837e+01,-1.232610399018655656e+00
