H_A_per_m,B_T
3.509634614645619877e+00,1.061927401506201463e+00
3.487838659217231907e+00,1.061569118329411365e+00
3.466059994127135724e+00,1.061210813316051604e+00
3.444298601127229631e+00,1.060852486502279257e+00
3.422554461882100441e+00,1.060494137922404434e+00
3.400827558143646456e+00,1.060135767611765312e+00
3.379117871707421727e+00,1.059777375606010485e+00
3.357425384325324558e+00,1.059418961939660120e+00
3.335750077836564742e+00,1.059060526648266443e+00
3.314091934036696330e+00,1.058702069766251475e+00
3.292450934808584861e+00,1.058343591329072853e+00
3.270827062078751624e+00,1.057985091372504627e+00
3.249220297686406411e+00,1.057626569930466109e+00
3.227630623645382002e+00,1.057268027039365066e+00
3.206058021838543937e+00,1.056909462733028882e+00
3.184502474323380738e+00,1.056550877047779169e+00
3.162963963070069440e+00,1.056192270018080581e+00
3.141442470092442818e+00,1.055833641678716406e+00
3.119937977491645142e+00,1.055474992065519979e+00
3.098450467325164936e+00,1.055116321213191544e+00
3.076979921737802215e+00,1.054757629157483390e+00
3.055526322830701247e+00,1.054398915933014935e+00
3.034089652748662047e+00,1.054040181574729784e+00
3.012669893723796122e+00,1.053681426118628695e+00
2.991267027900903486e+00,1.053322649598847471e+00
2.969881037555751391e+00,1.052963852051312266e+00
2.948511904920451343e+00,1.052605033510815469e+00
2.927159612270770594e+00,1.052246194012478542e+00
2.905824141882476397e+00,1.051887333591020157e+00
2.884505476118647493e+00,1.051528452282225246e+00
2.863203597342362627e+00,1.051169550121478169e+00
2.841918487873044796e+00,1.050810627143026643e+00
2.820650130161084235e+00,1.050451683382924051e+00
2.799398506613215432e+00,1.050092718876088016e+00
2.778163599679828621e+00,1.049733733657772783e+00
2.756945391811314039e+00,1.049374727762832249e+00
2.735743865501717664e+00,1.049015701226458264e+00
2.714559003288741224e+00,1.048656654084183071e+00
2.693390787666430697e+00,1.048297586370400047e+00
2.672239201259799302e+00,1.047938498121324002e+00
2.651104226606548764e+00,1.047579389371291470e+00
2.629985846331692301e+00,1.047220260155721006e+00
2.608884043103898875e+00,1.046861110510378667e+00
2.587798799548181705e+00,1.046501940469889202e+00
2.566730098333209753e+00,1.046142750069223304e+00
2.545677922171307728e+00,1.045783539343697610e+00
2.524642253818456084e+00,1.045424308328979146e+00
2.503623075986979529e+00,1.045065057059592295e+00
2.482620371476514265e+00,1.044705785571157453e+00
2.461634123086696491e+00,1.044346493898899997e+00
2.440664313617162406e+00,1.043987182077650511e+00
2.419710925954859704e+00,1.043627850143339142e+00
2.398773942943080328e+00,1.043268498130755173e+00
2.377853347468771972e+00,1.042909126075041160e+00
2.356949122418882325e+00,1.042549734010944862e+00
2.336061250767670572e+00,1.042190321974322043e+00
2.315189715489395894e+00,1.041830890000635668e+00
2.294334499514661729e+00,1.041471438124203841e+00
2.273495585905038752e+00,1.041111966381208287e+00
2.252672957634786144e+00,1.040752474805933581e+00
2.231866597765474580e+00,1.040392963433776963e+00
2.211076489402330481e+00,1.040033432300499827e+00
2.190302615606924519e+00,1.039673881440716929e+00
2.169544959528138861e+00,1.039314310890163240e+00
2.148803504314855672e+00,1.038954720684183597e+00
2.128078233115957119e+00,1.038595110857731374e+00
2.107369129123981111e+00,1.038235481446128317e+00
2.086676175531465560e+00,1.037875832484304928e+00
2.065999355574604124e+00,1.037516164007560304e+00
2.045338652533246204e+00,1.037156476051565246e+00
2.024694049643585458e+00,1.036796768650840361e+00
2.004065530229127035e+00,1.036437041841038242e+00
1.983453077613376081e+00,1.036077295657424902e+00
1.962856675119837746e+00,1.035717530134876441e+00
1.942276306159328669e+00,1.035357745309407607e+00
1.921711954099009745e+00,1.034997941215883177e+00
1.901163602349697612e+00,1.034638117889543851e+00
1.880631234322208911e+00,1.034278275365243083e+00
1.860114833514671773e+00,1.033918413678978299e+00
1.839614383381558582e+00,1.033558532865595403e+00
1.819129867420997471e+00,1.033198632960320662e+00
1.798661269131116569e+00,1.032838713997993985e+00
1.778208572097355500e+00,1.032478776014604138e+00
1.757771759861498140e+00,1.032118819044989699e+00
1.737350816052639857e+00,1.031758843125141434e+00
1.716945724212564528e+00,1.031398848289125869e+00
1.696556468014023267e+00,1.031038834572935992e+00
1.676183031129767187e+00,1.030678802012181761e+00
1.655825397188891657e+00,1.030318750641318282e+00
1.635483549907803535e+00,1.029958680495961287e+00
1.615157473002909683e+00,1.029598591611343261e+00
1.594847150234272704e+00,1.029238484023088374e+00
1.574552565361955203e+00,1.028878357766439100e+00
1.554273702146019787e+00,1.028518212876255999e+00
1.534010544390184805e+00,1.028158049387791317e+00
1.513763075941824354e+00,1.027797867336693871e+00
1.493531280648312531e+00,1.027437666758230561e+00
1.473315142357023433e+00,1.027077447687288148e+00
1.453114645002642646e+00,1.026717210159928673e+00
1.432929772476200014e+00,1.026356954211056660e+00
1.412760508712381124e+00,1.025996679875975204e+00
1.392606837645871565e+00,1.025636387189607701e+00
1.372468743255012669e+00,1.025276076187277452e+00
1.352346209561801516e+00,1.024915746904711211e+00
1.332239220588235185e+00,1.024555399377258036e+00
1.312147760356310755e+00,1.024195033639888175e+00
1.292071812931681052e+00,1.023834649727976664e+00
1.272011362379998900e+00,1.023474247676519955e+00
1.251966392854228616e+00,1.023113827521706876e+00
1.231936888463678770e+00,1.022753389298565851e+00
1.211922833317657933e+00,1.022392933041746055e+00
1.191924211612786166e+00,1.022032458787093256e+00
1.171941007545683533e+00,1.021671966570077750e+00
1.151973205312970094e+00,1.021311456425794351e+00
1.132020789111265913e+00,1.020950928388959955e+00
1.112083743224502541e+00,1.020590382495495163e+00
1.092162051936611533e+00,1.020229818780945541e+00
1.072255699531524442e+00,1.019869237280483176e+00
1.052364670293172821e+00,1.019508638028904679e+00
1.032488948592799716e+00,1.019148021062214582e+00
1.012628518757992424e+00,1.018787386415253016e+00
9.927833652036497369e-01,1.018426734124071809e+00
9.729534723010146990e-01,1.018066064223557277e+00
9.531388244649861008e-01,1.017705376749014956e+00
9.333394061104627326e-01,1.017344671735378903e+00
9.135552017396548763e-01,1.016983949218799754e+00
8.937861958111170679e-01,1.016623209234263303e+00
8.740323727834038436e-01,1.016262451816380308e+00
8.542937172460369766e-01,1.015901677001783687e+00
8.345702137012267485e-01,1.015540884825139489e+00
8.148618466948391870e-01,1.015180075321540754e+00
7.951686008163960651e-01,1.014819248526508844e+00
7.754904606990749016e-01,1.014458404475995668e+00
7.558274109323974699e-01,1.014097543204783403e+00
7.361794361495412886e-01,1.013736664748084104e+00
7.165465210273396224e-01,1.013375769141542371e+00
6.969286502426257357e-01,1.013014856420434207e+00
6.773258085158886388e-01,1.012653926620471045e+00
6.577379805676173419e-01,1.012292979776994839e+00
6.381651511183008552e-01,1.011932015924980721e+00
6.186073049320839345e-01,1.011571035099838589e+00
5.990644267731113359e-01,1.011210037336611522e+00
5.795365014928393066e-01,1.010849022671588271e+00
5.600235138554126024e-01,1.010487991139076724e+00
5.405254487559432164e-01,1.010126942775440462e+00
5.210422910458873957e-01,1.009765877615870000e+00
5.015740255767013878e-01,1.009404795695188373e+00
4.821206372434971854e-01,1.009043697048661370e+00
4.626821109850425273e-01,1.008682581711999982e+00
4.432584317837608978e-01,1.008321449721362173e+00
4.238495845347642899e-01,1.007960301110917500e+00
4.044555542641319335e-01,1.007599135916906752e+00
3.850763259542873129e-01,1.007237954174394101e+00
3.657118845876539126e-01,1.006876755918078459e+00
3.463622152776224539e-01,1.006515541184738183e+00
3.270273030066164210e-01,1.006154310008343655e+00
3.077071328880265355e-01,1.005793062424947371e+00
2.884016900352435187e-01,1.005431798470239890e+00
2.691109595616580918e-01,1.005070518179550287e+00
2.498349265806609765e-01,1.004709221587843704e+00
2.305735762492986396e-01,1.004347908730540473e+00
2.113268937682732940e-01,1.003986579643520116e+00
1.920948642946314067e-01,1.003625234361479102e+00
1.728774730727309361e-01,1.003263872920393096e+00
1.536747053469298407e-01,1.002902495355878942e+00
1.344865463615860790e-01,1.002541101703191773e+00
1.153129813610576093e-01,1.002179691997225897e+00
9.615399563335813582e-02,1.001818266273336810e+00
7.700957451015710831e-02,1.001456824567344306e+00
5.787970332312397659e-02,1.001095366914710239e+00
3.876436740392819047e-02,1.000733893350534975e+00
1.966355212789494544e-02,1.000372403910386510e+00
5.772429140051826835e-04,1.000010898630300904e+00
-1.849457486241590232e-02,9.996493775451287256e-01
-3.755191578238736838e-02,9.992878406901896104e-01
-5.659479438327252865e-02,9.989262881012725970e-01
-7.562322524609044194e-02,9.985647198129812274e-01
-9.463722286454867572e-02,9.982031358612183380e-01
-1.136368017323547974e-01,9.978415362815314937e-01
-1.326219763432163745e-01,9.974799211091113227e-01
-1.515927611471852288e-01,9.971182903796230734e-01
