time_s,I_A
5.699999999999999636e-05,7.568971293886896231e-04
5.800000000000000034e-05,7.834533753521394882e-04
5.899999999999999754e-05,8.104673956057809265e-04
5.999999999999999474e-05,8.379391835194291470e-04
6.099999999999999872e-05,8.658687357899186830e-04
6.200000000000000270e-05,8.942560491158511003e-04
6.299999999999999990e-05,9.231011168701333189e-04
6.399999999999999710e-05,9.524039390812582802e-04
6.499999999999999431e-05,9.821645091236791934e-04
6.599999999999999151e-05,1.012382820374720669e-03
6.700000000000000226e-05,1.043058872866409062e-03
6.799999999999999946e-05,1.074192659978498790e-03
6.899999999999999667e-05,1.105784175092510866e-03
6.999999999999999387e-05,1.137833418243785078e-03
7.099999999999999107e-05,1.170340382817597249e-03
7.200000000000000182e-05,1.203305062200107044e-03
7.299999999999999903e-05,1.236727453105376968e-03
7.399999999999999623e-05,1.270607552249678482e-03
7.499999999999999343e-05,1.304945353024030428e-03
7.599999999999999063e-05,1.339740852148679599e-03
7.700000000000000139e-05,1.374994043017516241e-03
7.799999999999999859e-05,1.410704922355425148e-03
7.899999999999999579e-05,1.446873483559830628e-03
7.999999999999999299e-05,1.483499723359152410e-03
8.099999999999999019e-05,1.520583635156115034e-03
8.200000000000000095e-05,1.558125215682450680e-03
8.299999999999999815e-05,1.596124458344197646e-03
8.399999999999999535e-05,1.634581359879051874e-03
8.499999999999999255e-05,1.673495913697468701e-03
8.599999999999998976e-05,1.712868113214100190e-03
8.700000000000000051e-05,1.752697955171942735e-03
8.799999999999999771e-05,1.792985432989183114e-03
8.899999999999999491e-05,1.833730543414339130e-03
8.999999999999999212e-05,1.874933279871560891e-03
9.099999999999998932e-05,1.916593635786985415e-03
9.200000000000000007e-05,1.958711607915757363e-03
9.299999999999999727e-05,2.001287186364504589e-03
9.399999999999999448e-05,2.044320371220692285e-03
9.499999999999999168e-05,2.087811152594922989e-03
9.600000000000000243e-05,2.131759527254490499e-03
9.699999999999999963e-05,2.176165488642317018e-03
9.799999999999999684e-05,2.221029030205965565e-03
9.899999999999999404e-05,2.266350145394102449e-03
9.999999999999999124e-05,2.312128830986830228e-03
1.010000000000000020e-04,2.358365077113526789e-03
1.019999999999999992e-04,2.405058880559154087e-03
1.029999999999999964e-04,2.452210234787839584e-03
1.039999999999999936e-04,2.499819136591171879e-03
1.049999999999999908e-04,2.547885576111560534e-03
1.060000000000000016e-04,2.596409546824174960e-03
1.069999999999999988e-04,2.645391045530102233e-03
1.079999999999999960e-04,2.694830065711138842e-03
1.089999999999999932e-04,2.744726597524933896e-03
1.099999999999999904e-04,2.795080637785605712e-03
1.110000000000000011e-04,2.845892179985331366e-03
1.119999999999999983e-04,2.897161217620485094e-03
1.129999999999999955e-04,2.948887744190314270e-03
1.139999999999999927e-04,3.001071749872786815e-03
1.149999999999999899e-04,3.053713231503224143e-03
1.160000000000000007e-04,3.106812182593462080e-03
1.169999999999999979e-04,3.160368596660858079e-03
1.179999999999999951e-04,3.214382467227186631e-03
1.189999999999999923e-04,3.268853784491178999e-03
1.199999999999999895e-04,3.323782545310023217e-03
1.210000000000000002e-04,3.379168739891947291e-03
1.219999999999999974e-04,3.435012361777058272e-03
1.229999999999999811e-04,3.491313404510101859e-03
1.240000000000000054e-04,3.548071861641566120e-03
1.250000000000000026e-04,3.605287726724369906e-03
1.259999999999999998e-04,3.662960993318497595e-03
1.269999999999999970e-04,3.721091651662879630e-03
1.279999999999999942e-04,3.779679698652692755e-03
1.289999999999999914e-04,3.838725121210891447e-03
1.299999999999999886e-04,3.898227916244579976e-03
1.309999999999999858e-04,3.958188077339364584e-03
1.319999999999999830e-04,4.018605594761784708e-03
